ID,Name,2.5m/s,3m/s,4m/s,5m/s,6m/s,7m/s,8m/s,9m/s,10m/s,11m/s,12m/s,13m/s,14m/s,15m/s,16m/s,17m/s,18m/s,19m/s,20m/s,21m/s,22m/s,23m/s,24m/s,25m/s
20,WD103,0.0 ,31.0 ,131.0 ,283.0 ,498.0 ,800.0 ,1201.0 ,1671.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
21,FD108,0.0 ,13.0 ,125.0 ,291.0 ,530.0 ,863.0 ,1305.0 ,1778.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
22,H111,0.0 ,18.0 ,125.0 ,291.0 ,532.0 ,868.0 ,1292.0 ,1749.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
23,MY110,0.0 ,17.0 ,137.0 ,316.0 ,588.0 ,960.0 ,1455.0 ,1968.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
24,UP96,0.0 ,8.6 ,98.3 ,237.9 ,429.4 ,690.4 ,1037.3 ,1483.4 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
25,XE105,0.0 ,53.3 ,134.3 ,277.9 ,490.4 ,787.1 ,1178.1 ,1669.5 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
26,GW93_S2,0.0 ,29.4 ,110.9 ,228.8 ,402.1 ,644.5 ,965.4 ,1343.5 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 
27,GW121,0.0 ,65.0 ,202.0 ,405.0 ,703.0 ,1114.0 ,1644.0 ,2282.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 
28,H102,0.0 ,10.4 ,129.2 ,259.0 ,479.8 ,787.3 ,1193.6 ,1680.8 ,1961.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
29,SL3000,0.0 ,32.5 ,152.2 ,328.8 ,582.3 ,934.7 ,1402.5 ,2000.9 ,2651.3 ,2973.6 ,3007.0 ,3007.0 ,3007.0 ,3007.0 ,3007.0 ,3007.0 ,3007.0 ,3007.0 ,3007.0 ,3007.0 ,3007.0 ,3007.0 ,3007.0 ,3007.0 
30,EN1800,0.0 ,24.0 ,135.0 ,291.0 ,525.0 ,850.0 ,1227.0 ,1508.0 ,1679.0 ,1757.0 ,1787.0 ,1796.0 ,1799.0 ,1800.0 ,1800.0 ,1800.0 ,1800.0 ,1800.0 ,1800.0 ,1800.0 ,1800.0 ,1800.0 ,1800.0 ,1800.0 
31,EN2100,0.0 ,45.0 ,152.0 ,328.0 ,591.0 ,954.0 ,1424.0 ,1761.0 ,1962.0 ,2052.0 ,2085.0 ,2096.0 ,2099.0 ,2100.0 ,2100.0 ,2100.0 ,2100.0 ,2100.0 ,2100.0 ,2100.0 ,2100.0 ,2100.0 ,2100.0 ,2100.0 
32,GW121,0.0 ,65.0 ,202.0 ,405.0 ,703.0 ,1114.0 ,1644.0 ,2282.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 
33,GW93,0.0 ,29.0 ,111.0 ,229.0 ,402.0 ,645.0 ,965.0 ,1344.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 ,1500.0 
34,GW115,36.6 ,73.1 ,183.6 ,367.0 ,641.3 ,1021.8 ,1516.7 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
35,WD115,21.0 ,40.0 ,167.0 ,363.0 ,637.0 ,1020.0 ,1526.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
36,GW131/2200,0.0 ,69.0 ,227.0 ,458.0 ,796.0 ,1253.0 ,1781.0 ,2110.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 
37,GW130/2500,38.0 ,70.0 ,214.0 ,439.0 ,757.0 ,1191.0 ,1741.0 ,2268.0 ,2486.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 
38,En-2.2/131,,59.0 ,228.0 ,468.0 ,819.0 ,1303.0 ,1920.0 ,2195.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 
39,MY2.0-121,,61.0 ,177.0 ,388.0 ,686.0 ,1085.0 ,1553.0 ,1862.0 ,1966.0 ,1988.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
40,MY3.0-121,47.0 ,83.0 ,197.0 ,430.0 ,722.0 ,1098.0 ,1662.0 ,2187.0 ,2731.0 ,2953.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 
41,Vestas100,,14.0 ,107.0 ,250.0 ,428.0 ,709.0 ,1071.0 ,1518.0 ,1893.0 ,1988.0 ,1999.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 ,2000.0 
42,XE122-2200,,76.4 ,181.7 ,360.9 ,642.1 ,1011.9 ,1440.3 ,1809.7 ,2094.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 
43,MY2.5-135,,,,,,,,,,,,,,,,,,,,,,,,
44,MY3.0-135,,61.0 ,196.0 ,416.0 ,743.0 ,1188.0 ,1761.0 ,2436.0 ,2810.0 ,2946.0 ,2988.0 ,2996.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 
45,MY3.0-145,13.0 ,73.0 ,250.0 ,556.0 ,1017.0 ,1614.0 ,2343.0 ,2877.0 ,2973.0 ,2995.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 
46,MY3.2-145,13.0 ,73.0 ,250.0 ,556.0 ,1017.0 ,1614.0 ,2348.0 ,2980.0 ,3156.0 ,3185.0 ,3199.0 ,3200.0 ,3200.0 ,3200.0 ,3200.0 ,3200.0 ,3200.0 ,3200.0 ,3200.0 ,3200.0 ,3200.0 ,3200.0 ,3200.0 ,3200.0 
47,WD131,12.0 ,47.0 ,217.0 ,467.0 ,816.0 ,1304.0 ,1933.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 ,2200.0 
48,En3.0-141,,,,,,,,,,,,,,,,,,,,,,,,
49,GW3.0-140,15.5 ,75.0 ,252.7 ,511.7 ,893.5 ,1420.8 ,2079.5 ,2687.3 ,2968.8 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 ,3000.0 
50,WT2.5-130,,51.0 ,224.0 ,452.0 ,805.0 ,1277.0 ,1874.0 ,2288.0 ,2430.0 ,2480.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 
51,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,
55,GW2.5-140,22.0 ,82.0 ,256.0 ,513.0 ,888.0 ,1400.0 ,2015.0 ,2421.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 
56,En2.5-141,,85.0 ,273.0 ,559.0 ,971.0 ,1540.0 ,2138.0 ,2421.0 ,2493.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 
57,MY2.5-145,13.0 ,73.0 ,250.0 ,556.0 ,1022.0 ,1619.0 ,2326.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 ,2500.0 
58,GW3.3-155,12.2 ,88.5 ,308.4 ,623.1 ,1085.3 ,1725.0 ,2521.9 ,3143.9 ,3298.8 ,3300.0 ,3300.0 ,3300.0 ,3300.0 ,3300.0 ,3300.0 ,3300.0 ,3300.0 ,3300.0 ,3300.0 ,3300.0 ,3300.0 ,3300.0 ,3300.0 ,3300.0 
59,GW3.4-140,15.0 ,74.0 ,249.0 ,503.0 ,879.0 ,1395.0 ,2059.0 ,2794.0 ,3277.0 ,3397.0 ,3403.0 ,3404.0 ,3403.0 ,3402.0 ,3402.0 ,3403.0 ,3405.0 ,3405.0 ,3405.0 ,3405.0 ,3405.0 ,3405.0 ,3405.0 ,3405.0 
